id,name,sort,hud_icon,sound_fire,mute_sound_fire,sound_fire_middle_range,sound_fire_long_range,sound_fire_middle_range_low,sound_fire_long_range_low,mute_sound_fire_low,sound_clip_in,sound_clip_out,sound_change_weapon,type,subtype,subsubtype,combine_type,damage,ammo_clip_size,initial_clip_count,fire_interval,ammo_id,attachment_slot,fire_type,bite_armor,range,full_damage_distance,min_damage_distance,min_damage,scatter_num,scatter_speed,scatter_move,scatter_max,scatter_recover_speed,player_speed_factor,player_speed_factor_while_firing,once_ammo,reload_speed,sight_equip,sight_default_equip,attachment_default_equip,sight_switch_music,sight_switch_time,sight_shoot_mindmg_numy,sight_ui_action_ratio,sight_ui_action_recovery,angle,delay,silencer,single_shot,repeat_fire_interval,damage_ratio_body,damage_ratio_head,damage_ratio_limb,knock_down_damage,armor_penetration_rate,buff_id,extra_damage_rate,fireShakeParam,canautoswitch,gunfireinterval,icewall_breakdown_rate,boost_damage,boost_damage_interval,sound_pull_bolt,bullet_effect,fire_effect,second_fire_effect,hd_anim_controller,hd_female_anim_controller,full_hd_anim_controller,full_hd_female_anim_controller,id_weaponskin,weapon_gold_type,ishealgun,ifautofire_enemy,pre_exchange_time,post_exchange_time,absolute_exchange_time,fire_vibrate,clip_vibrate,TagID,headshot_full_ratio_distance,headshot_min_ratio_distance,headshot_min_ratio
27,BaseballPole,27,Icon_HUD_BASEBALLPOLE,SOUND_BASEBALLPOLE_FIRE,SOUND_BASEBALLPOLE_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_BASEBALLPOLE_FIRE,SOUND_BASEBALLPOLE_FIRE,SOUND_BASEBALLPOLE_FIRE,SOUND_KNIFE_FIRE,SOUND_KNIFE_FIRE,SOUND_SWITCH_WEAPON_BASEBALLPOLE,3,2,,,40,0,0,0.55,,,0,0,1.9,1.9,1.9,40,1,1,1,1,1,1.2,1,1,0,,,,SOUND_EQUIP,0.15,,,,60,0.15,,FALSE,,,,,,,,,,FALSE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MELEE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MELEE_FEMALE_FULL_HD,,,,,,0.2,0.4,,,26,,,
28,XM8,28,Icon_HUD_Xm8,SOUND_XM8_FIRE,SOUND_XM8_SILENCER,SOUND_XM8_MIDDLERANGE,SOUND_XM8_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_XM8_CLIPIN,SOUND_XM8_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,33,25,1,0.148,201,0;1;2;4,1,0,220,38,63,13,3,0.18,1,1.9,10,1.1,0.65,1,0.85,531;532;533;534;535;536;537,534,,SOUND_EQUIP,0.2,12,,,,,,FALSE,,,,,,,,,,TRUE,5,,,,,EFFECT_BULLET_XM8,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SCAR_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SCAR_FEMALE_FULL_HD,,,,,0.25,0.25,,128,428,8;30;4,,,
29,SPAS12,29,Icon_HUD_SPAS12,SOUND_SPAS12_FIRE,SOUND_SPAS12_FIRE,SOUND_SPAS12_MIDDLERANGE,SOUND_SPAS12_MIDDLERANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_SPAS12_FIRE,SOUND_SPAS12_CLIPIN,SOUND_SPAS12_CLIPOUT,SOUND_SWITCH_WEAPON_SHOTGUN,4,0,,,20,5,1,0.33,204,0;1;4,1,0,25,4,21,7,0,1.5,1.5,3,10,1,0.45,8,0.7,531;532;533;534,534,,SOUND_EQUIP,0.2,2,,,,,,TRUE,,,,,,,,,0.01#0.05#0.18#0.6,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_M1014_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_M1014_FEMALE_FULL_HD,,,,,0.3,0.25,,129,429,74;34;13,8,13,-2
30,M60,30,Icon_HUD_M60,SOUND_M60_FIRE,SOUND_M60_SILENCER,SOUND_M60_MIDDLERANGE,SOUND_M60_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_M60_CLIPIN,SOUND_M60_CLIPOUT,SOUND_SWITCH_WEAPON_MACHINEGUN,0,1,1,,31,60,1,0.18,201,3;5,1,0,220,41,71,14,3,0.24,1.15,2.5,10,1,0.3,1,0.9,531;532;533;534;535;536;537,532,524,SOUND_EQUIP,0.2,12,,,,,,FALSE,,,,,,,,0.6,0.014#0.02#0.12#0.6,TRUE,4,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MG_FEMALE_FULL_HD,,,,,0.25,0.25,,130,430,12;40,,,
31,MGL140,31,Icon_HUD_MGL140,SOUND_MGL140_FIRE,SOUND_MGL140_FIRE,,,SOUND_MGL140_FIRE,SOUND_MGL140_FIRE,SOUND_MGL140_FIRE,SOUND_MGL140_CLIPIN,SOUND_MGL140_CLIPOUT,SOUND_SWITCH_WEAPON_MGL140,7,0,,,100,5,1,0.55,207,1,1,0,220,50,50,20,0,0,1,1,10,1,0.8,1,1.3,,,,SOUND_EQUIP,0.2,,,,,,,FALSE,,,,,,,,,,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_GRENADELAUNCHER_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_GRENADELAUNCHER_FEMALE_FULL_HD,,,,,0.3,0.25,,131,431,50,,,
32,P90,32,Icon_HUD_P90,SOUND_P90_FIRE,SOUND_P90_SILENCER,SOUND_P90_MIDDLERANGE,SOUND_P90_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_P90_CLIPIN,SOUND_P90_CLIPOUT,SOUND_SWITCH_WEAPON_SUB,6,0,,,24,50,1,0.088,205,1;3;4,1,0,220,14,28,15,5,0.14,1.1,2.7,10,1,0.65,1,0.9,531;532;533;534;535;536;537,532,,SOUND_EQUIP_2,0.2,,,,,,,FALSE,,,,,,,,,0.002#0.008#0.04#0.6,TRUE,7,,,,,EFFECT_BULLET_P90,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SMG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SMG_FEMALE_FULL_HD,,,,,0.25,0.25,,132,432,9;11;41,12,20,-2
33,AN94,37,Icon_HUD_AN94,SOUND_AN94_FIRE,SOUND_AN94_SILENCER,SOUND_AN94_MIDDLERANGE,SOUND_AN94_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_AN94_CLIPIN,SOUND_AN94_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,36,30,1,0.166,201,1;2;3;4,1,0,220,33,61,15,3,0.23,1.2,2.2,5.6,1,0.55,1,0.85,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,12,,,,,,FALSE,,,,,,,,,,TRUE,4,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,133,433,77;5;7,,,
34,Katana 太刀,38,Icon_HUD_Katana,SOUND_KATANA_FIRE,SOUND_KATANA_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_KATANA_FIRE,SOUND_KATANA_FIRE,SOUND_KATANA_FIRE,SOUND_KNIFE_FIRE,SOUND_KNIFE_FIRE,SOUND_SWITCH_WEAPON_KATANA,3,3,,,43,0,0,0.6,,,0,0,2,2,2,43,1,1,1,1,1,1.2,1,1,0,,,,SOUND_EQUIP,0.15,,,,63,0.15,,FALSE,,,,,,,,,,FALSE,0,,,,,,VFX_KATANA_ATTACK1,VFX_KATANA_ATTACK2,,,INGAME_WEAPON_OVERRIDE_ANIM_KATANA_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_KATANA_FEMALE_FULL_HD,,,,,,0.2,0.4,,,26,,,
35,CG15,39,Icon_HUD_CG15,SOUND_CG15_FIRE,SOUND_CG15_SILENCER,SOUND_CG15_MIDDLERANGE,SOUND_CG15_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_MP5_CLIPIN,SOUND_MP5_CLIPOUT,SOUND_SWITCH_WEAPON_SUB,12,1,,,25,20,1,0.11,205,1;2,1,0,220,25,75,18,3,0.14,1.1,1.9,10,1,0.65,1,1.1,539,539,,SOUND_EQUIP,0.2,6,,,,,,FALSE,,,,,,,,,,TRUE,5,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SMG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SMG_FEMALE_FULL_HD,,,,,0.25,0.25,,,,44;31;8,12,20,-2
36,RGS50  Anti-materiel Launcher,40,Icon_HUD_RGS50,SOUND_RGS50_FIRE,SOUND_RGS50_FIRE,,,SOUND_RGS50_FIRE,SOUND_RGS50_FIRE,SOUND_RGS50_FIRE,SOUND_M79_CLIPIN,SOUND_M79_CLIPOUT,SOUND_SWITCH_WEAPON_RGS50,7,1,,,100,3,1,3,207,,1,0,220,100,100,60,0,0,1,1,10,1,0.8,1,1.1,,,,SOUND_EQUIP,0.2,,,,,,,FALSE,,,,,,,,2,,TRUE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_GRENADELAUNCHER_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_GRENADELAUNCHER_FEMALE_FULL_HD,,,,,0.3,0.25,,,,6;43;40,,,
37,Gatling,41,Icon_HUD_Gatling,SOUND_GATLING_FIRE,SOUND_AR_SILENCER,SOUND_GATLING_MIDDLERANGE,SOUND_GATLING_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_MP5_CLIPIN,SOUND_MP5_CLIPOUT,SOUND_SWITCH_WEAPON_MACHINEGUN,13,1,,,30,1200,1,0.18,210,,1,0,220,65,85,18,3,0.08,1.1,1.19,10,0.75,0.35,1,1.1,,,,SOUND_EQUIP,0.2,8,,,,,,FALSE,,,,,,,,,0.024#0.024#0.1#0.6,TRUE,4,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_GATLING_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_GATLING_FEMALE_FULL_HD,,,,,0.3,0.25,,,,52;12,,,
38,GrapplingHookGun,42,Icon_HUD_GrapplingHookGun,SOUND_GrapplingHookGun_FIRE,SOUND_GrapplingHookGun_FIRE,,,SOUND_GrapplingHookGun_FIRE,SOUND_GrapplingHookGun_FIRE,SOUND_GrapplingHookGun_FIRE,,SOUND_GrapplingHookGun_CLIPIN,SOUND_SWITCH_WEAPON_GRAPPLINGHOOKGUN,15,0,,,0,5,1,0.1,209,,1,1,30,10,20,0,0,0,1,1,10,1,0.8,1,0.8,531;532;533;534;535;536;537,534,,SOUND_EQUIP,0.2,0,,,,,TRUE,TRUE,,,,,,,,,,TRUE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_HOOKGUN_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_HOOKGUN_FEMALE_FULL_HD,,,,,0.25,0.25,,,,45,,,
39,HeatGun,43,Icon_HUD_Superheat,SOUND_SUPERHEAT_FIRE,SOUND_SUPERHEAT_FIRE,SOUND_HEATGUN_MIDDLERANGE,SOUND_HEATGUN_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_SUPERHEAT_FIRE,,,SOUND_SWITCH_WEAPON_HEATGUN,0,0,,,32,30,1,0.166,211,2;3;5,1,0,220,45,80,15,6,0.23,1.05,1.9,10,1,0.55,1,0,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,10,,,,,,FALSE,,,,,,,,,,TRUE,4,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AR_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AR_FEMALE_FULL_HD,,,,,0.25,0.25,,139,,29;4,,,
40,ThrowingKnife（飞刀模式）,45,Icon_HUD_ThrowingKnife,SOUND_THROWINGKNIFE_FIRE,SOUND_THROWINGKNIFE_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_THROWINGKNIFE_FIRE,SOUND_THROWINGKNIFE_FIRE,SOUND_WEAPON_EMPTY,,,SOUND_SWITCH_WEAPON,18,0,,,9999,3,1,1,,,0,1,50,50,50,9999,1,0,1,1,1,1,1,1,0,,,,SOUND_EQUIP,0.2,,,,,,TRUE,,,,,,,,,,,TRUE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_THROWINGKNIFE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_THROWINGKNIFE_FEMALE_FULL_HD,,,,,0.2,0.2,,,,,,,
41,M1887,46,Icon_HUD_M1887,SOUND_M1887_FIRE,SOUND_M1014_FIRE,SOUND_M1887_MIDDLERANGE,SOUND_M1887_MIDDLERANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_M1014_FIRE,SOUND_M1887_CLIPIN,SOUND_M1887_CLIPOUT,SOUND_SWITCH_WEAPON_SHOTGUN,4,0,,,17,2,1,0.36,204,,1,0.08,27,6,20,8,0,1,1.2,2.4,10,1,0.55,10,1,,,,SOUND_EQUIP,0.2,,,,,,,FALSE,,,,,,,,,0.008#0.09#0.18#0.6,TRUE,1,,,,,EFFECT_BULLET_M1887,,,INGAME_WEAPON_OVERRIDE_ANIM_M1887_HD,INGAME_WEAPON_OVERRIDE_ANIM_M1887_FEMALE_HD,INGAME_WEAPON_OVERRIDE_ANIM_M1887_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_M1887_FEMALE_FULL_HD,,,,,0.3,0.25,,141,441,76;1,8,13,-2
42,ThrowingKnife（军备竞赛）,45,Icon_HUD_ThrowingKnife,SOUND_THROWINGKNIFE_FIRE,SOUND_THROWINGKNIFE_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_THROWINGKNIFE_FIRE,SOUND_THROWINGKNIFE_FIRE,SOUND_WEAPON_EMPTY,,,SOUND_SWITCH_WEAPON,18,0,,,500,3,1,1,,,0,1,50,50,50,500,1,0,1,1,1,1,1,1,0,,,,SOUND_EQUIP,0.2,,,,,,TRUE,,,,,,,,,,,TRUE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_THROWINGKNIFE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_THROWINGKNIFE_FEMALE_FULL_HD,,,,,0.2,0.2,,,,,,,
43,Thompson,43,Icon_HUD_Thompson,SOUND_TOMMYGUN_FIRE,SOUND_THOMPSON_SILENCER,SOUND_THOMPSON_MIDDLERANGE,SOUND_THOMPSON_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_TOMMYGUN_CLIPIN,SOUND_TOMMYGUN_CLIPOUT,SOUND_SWITCH_WEAPON_SUB,6,0,,,25,42,1,0.083,205,0;2;4,1,0,220,11,28,15,7,0.15,1.15,2.8,10,1,0.7,1,0.9,,,,SOUND_EQUIP_2,0.2,,,,,,,FALSE,,,,,,,,,0.01#0.01#0.05#0.6,TRUE,7,,,,,EFFECT_BULLET_Thompson,,,,,INGAME_WEAPON_OVERRIDE_ANIM_THOMPSON_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_THOMPSON_FEMALE_FULL_HD,,,,,0.25,0.25,,143,443,9;31;27,12,20,-2
44,立体机动装置（暂时弃用）,44,Icon_HUD_GrapplingHookGun,SOUND_GrapplingHookGun_FIRE,SOUND_GrapplingHookGun_FIRE,,,SOUND_GrapplingHookGun_FIRE,SOUND_GrapplingHookGun_FIRE,SOUND_GrapplingHookGun_FIRE,,SOUND_GrapplingHookGun_CLIPIN,SOUND_SWITCH_WEAPON_GRAPPLINGHOOKGUN,20,0,,,0,5,1,0.1,209,,1,1,30,10,20,0,0,0,1,1,10,1,0.8,1,0.8,531;532;533;534;535;536;537,534,,SOUND_EQUIP,0.2,0,,,,,TRUE,TRUE,,,,,,,39,,,TRUE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_HOOKGUN_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_HOOKGUN_FEMALE_FULL_HD,,,,,0.25,0.25,,,,,,,
45,BM94(巴雷特M82B）,50,Icon_HUD_BM94,SOUND_BM94_FIRE,SOUND_BM94_SILENCER,SOUND_BM94_MIDDLERANGE,SOUND_BM94_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_BM94_CLIPIN,SOUND_BM94_CLIPOUT,SOUND_SWITCH_WEAPON_SNIPER,1,0,,,165,8,1,1.5,203,0,1,0.3,220,40,90,120,5,0,1,1,10,0.9,0.8,1,0.8,531;532;533;534;535;536;537,536,,SOUND_EQUIP,0.2,5,,,,,,FALSE,,,,,,,,0.6,0.01#0.1#0.92#0.6,TRUE,1,0.6,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AWM_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AWM_FEMALE_FULL_HD,,,,,0.5,0.25,,145,445,46;40;2,,,
46,AUG,51,Icon_HUD_AUG,SOUND_AUG_FIRE,SOUND_AUG_SILENCER,SOUND_AUG_MIDDLERANGE,SOUND_AUG_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_AUG_CLIPIN,SOUND_AUG_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,31,35,1,0.147,201,0;2;3;4,1,0,220,32,56,15,3,0.19,1.2,2,10,1.05,0.75,1,1,531;532;533;535;536;537,534,,SOUND_EQUIP,0.2,15,,,,,,FALSE,,,,,,,,,0.01#0.025#0.12#0.6,TRUE,5,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AUG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AUG_FEMALE_FULL_HD,,,,,0.25,0.25,,146,446,8;33;4,,,
47,ParaFAL,52,Icon_HUD_PARAFAL,SOUND_PARAFAL_FIRE,SOUND_PARAFAL_SILENCER,SOUND_PARAFAL_MIDDLERANGE,SOUND_PARAFAL_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_PARAFAL_CLIPIN,SOUND_PARAFAL_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,48,30,1,0.245,201,0;2;3;4,1,0,220,29,65,35,4,0.25,1.15,2.7,10,1,0.65,1,0.8,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,17,,,,,,FALSE,,,,,,,,,,TRUE,4,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,147,447,5,,,
48,Woodpecker(M21),53,Icon_HUD_M21A5,SOUND_M21A5_FIRE,SOUND_M21A5_SILENCER,SOUND_M21A5_MIDDLERANGE,SOUND_M21A5_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_M21A5_CLIPIN,SOUND_M21A5_CLIPOUT,SOUND_SWITCH_WEAPON_SNIPER,0,3,,,72,12,1,0.42,201,0;2;4,1,0.6,220,41,72,23,10,0.12,1.05,1.5,10,1,0.55,1,0.9,531;532;533;534;535;536;537,535,,SOUND_EQUIP,0.2,20,,,,,,FALSE,,,,,,,,,,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,148,448,3;30;5,,,
49,Vector,54,Icon_HUD_VECTOR,SOUND_VECTOR_FIRE,SOUND_VECTOR_SILENCER,SOUND_TVECTOR_MIDDLERANGE,SOUND_VECTOR_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_VECTOR_CLIPIN,SOUND_VECTOR_CLIPOUT,SOUND_SWITCH_WEAPON_SUB,6,0,,2,22,20,1,0.076,205,4,1,0,220,21,35,12,3,0.12,1.03,1.9,10,1.15,0.7,1,0.6,,,,SOUND_EQUIP_2,0.2,,,,,,,FALSE,,,-1.5,,,,,,0.01#0.01#0.05#0.6,TRUE,7,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_VECTOR_SINGLE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_VECTOR_SINGLE_FEMALE_FULL_HD,,,,,0.25,0.25,,149,449,9;69;27,12,20,-2
50,MAG-7,55,Icon_HUD_MAG7,SOUND_MAG7_FIRE,SOUND_M1014_FIRE,SOUND_M1887_MIDDLERANGE,SOUND_M1887_MIDDLERANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_MAG7_FIRE,SOUND_MAG7_CLIPIN,SOUND_MAG7_CLIPOUT,SOUND_SWITCH_WEAPON_SHOTGUN,4,0,,,20,8,1,0.2,204,0;2;4,1,0,19,8,15,8,0,0.5,1.2,3.5,10,1,0.5,4,1,,,,SOUND_EQUIP,0.2,,,,,,,FALSE,,,,,,,,,0.008#0.09#0.18#0.6,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SG_FEMALE_FULL_HD,,,,,0.3,0.25,,150,450,74;41;7,8,13,-2
51,Sickle,56,Icon_HUD_Sickle,SOUND_SICKLE_FIRE,SOUND_SICKLE_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_SICKLE_FIRE,SOUND_SICKLE_FIRE,SOUND_SICKLE_FIRE,SOUND_KNIFE_FIRE,SOUND_KNIFE_FIRE,SOUND_SWITCH_WEAPON_SICKLE,3,5,,,117,0,0,0.65,,,0,0,2.5,2.5,2.5,117,1,1,1,1,1,1.15,1,1,0,,,,SOUND_EQUIP,0.15,,,,65,0.15,,FALSE,,,,,,,,,,FALSE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SICKLE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SICKLE_FEMALE_FULL_HD,,,,,,0.2,0.4,,,70;26,,,
52,BigHeadHammer,57,Icon_HUD_Hammer,SOUND_TRAINING_BIGHEADHAMMER,SOUND_TRAINING_BIGHEADHAMMER,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_TRAINING_BIGHEADHAMMER,SOUND_TRAINING_BIGHEADHAMMER,SOUND_TRAINING_BIGHEADHAMMER,SOUND_KNIFE_FIRE,SOUND_KNIFE_FIRE,SOUND_SWITCH_WEAPON,3,6,,,0,0,0,0.65,,,0,0,2.5,2.5,2.5,0,1,1,1,1,1,1.15,1,1,0,,,,SOUND_EQUIP,0.15,,,,65,0.15,,FALSE,,,,,,,,,,FALSE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MELEE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MELEE_FEMALE_FULL_HD,,,,,0.25,0.25,,,,,,,
53,ThrowingKnife（BR模式）,58,Icon_HUD_ThrowingKnife,SOUND_THROWINGKNIFE_FIRE,SOUND_THROWINGKNIFE_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_THROWINGKNIFE_FIRE,SOUND_THROWINGKNIFE_FIRE,SOUND_WEAPON_EMPTY,,,SOUND_SWITCH_WEAPON_KATANA,22,0,,,120,3,1,0.4,,,0,1,50,50,50,100,1,0,1,1,1,1,1,1,0,,,,SOUND_EQUIP,0.2,,,,,,TRUE,,,0.25,,,80,,,,,TRUE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_THROWINGKNIFE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_THROWINGKNIFE_FEMALE_FULL_HD,,,,,0.2,0.2,,,,,,,
54,Kord,19,Icon_HUD_Kord,SOUND_KORD_FIRE,SOUND_M249_SILENCER,SOUND_M249_MIDDLERANGE,SOUND_M249_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_M249_CLIPIN,SOUND_M249_CLIPOUT,SOUND_SWITCH_WEAPON_MACHINEGUN,0,1,1,,35,80,1,0.21,201,,1,0,220,39,83,17,3,0.13,1.2,2,10,1,0.45,1,0.8,,532,524,SOUND_EQUIP,0.2,1,,,,,,FALSE,,,,,,,,1.2,0.008#0.015#0.13#0.6,TRUE,5,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MG_FEMALE_FULL_HD,,,,,0.25,0.25,,154,454,12;40,,,
55,M1917,3,Icon_HUD_M1917,SOUND_M1917_FIRE,SOUND_M1917_FIRE,SOUND_USP_MIDDLERANGE,SOUND_USP_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_USP_CLIPIN,SOUND_USP_CLIPOUT,SOUND_SWITCH_WEAPON_HAND,2,2,,,45,12,1,0.17,202,2;4,1,0.2,55,12,25,18,3,0.15,1.1,2,10,1.1,0.85,1,0.75,,,,SOUND_EQUIP,0.2,8,,,,,,FALSE,,,,,,,,,0.008#0.016#0.15#0.6,TRUE,2,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_DOUBLEHANDGUN_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_DOUBLEHANDGUN_FEMALE_FULL_HD,,,,,0.25,0.25,,155,455,31;2,,,
56,WSP,59,Icon_HUD_MUSP,SOUND_USP_FIRE,SOUND_USP_SILENCER,SOUND_USP_MIDDLERANGE,SOUND_USP_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_USP_CLIPIN,SOUND_USP_CLIPOUT,SOUND_SWITCH_WEAPON_HAND,2,2,,,20,12,1,0.15,202,0;1,1,0,40,15,30,10,10,0.15,1.15,2,10,1.1,0.85,1,1,,,,SOUND_EQUIP,0.2,8,,,,,,FALSE,,,,,,,,,0.008#0.016#0.15#0.6,TRUE,2,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_DOUBLEHANDGUN_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_DOUBLEHANDGUN_FEMALE_FULL_HD,,,,,0.25,0.25,,103,403,30;7,,,
